clean,corrupted,label
Great customer service!!!,abc customer service!!!,1
Awesome Dinos and terrific tour guides.,abc Dinos and abc tour guides.,1
best pizza on beverly rd,abc pizza on beverly rd,1
My favourite  restaurant and bakery in  pittsburgh,My abc  restaurant and bakery in  pittsburgh,1
Closed for business,abc for business,0
Very disappointed,Very abc,0
worst service ever.\nnot worth the money.,abc service ever.abc abc the money.,0
This location closed.,This location abc.,0
Really nice team to work with!,Really abc team to work with!,1
Wasn't anything I would return for.,abc anything I would return for.,0
