Layer,Head 0,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11
0,0.49,0.48,0.47,0.48,0.48,0.49,0.51,0.48,0.51,0.36,0.46,0.52
1,0.36,0.37,0.35,0.24,0.24,0.31,0.36,0.30,0.32,0.33,0.29,0.48
2,0.35,0.37,0.44,0.43,0.41,0.43,0.36,0.40,0.38,0.42,0.26,0.37
3,0.44,0.47,0.44,0.41,0.37,0.34,0.44,0.43,0.40,0.42,0.40,0.40
4,0.43,0.44,0.44,0.47,0.40,0.47,0.34,0.41,0.47,0.42,0.43,0.46
5,0.44,0.44,0.47,0.45,0.39,0.42,0.46,0.44,0.41,0.39,0.45,0.40
6,0.45,0.46,0.43,0.45,0.51,0.43,0.39,0.41,0.47,0.45,0.46,0.45
7,0.45,0.45,0.44,0.44,0.47,0.47,0.40,0.46,0.47,0.45,0.44,0.46
8,0.45,0.46,0.46,0.47,0.46,0.46,0.45,0.47,0.48,0.42,0.43,0.48
9,0.46,0.46,0.48,0.49,0.47,0.45,0.47,0.46,0.48,0.46,0.47,0.47
10,0.48,0.46,0.46,0.48,0.47,0.47,0.48,0.46,0.45,0.48,0.46,0.48
11,0.49,0.47,0.46,0.46,0.46,0.47,0.47,0.44,0.50,0.47,0.44,0.45
