Layer,Head 0,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11
0,0.33,0.47,0.26,0.46,0.44,0.46,0.28,0.38,0.26,0.24,0.16,0.28
1,0.34,0.36,0.19,0.30,0.17,0.26,0.32,0.19,0.15,0.30,0.19,0.36
2,0.35,0.40,0.46,0.46,0.42,0.43,0.29,0.42,0.40,0.46,0.18,0.34
3,0.43,0.41,0.44,0.45,0.35,0.39,0.45,0.44,0.45,0.42,0.39,0.43
4,0.47,0.45,0.43,0.47,0.38,0.44,0.40,0.43,0.44,0.46,0.34,0.48
5,0.45,0.45,0.47,0.43,0.43,0.45,0.45,0.45,0.43,0.38,0.45,0.38
6,0.47,0.46,0.37,0.42,0.44,0.42,0.38,0.44,0.46,0.46,0.41,0.43
7,0.47,0.45,0.46,0.41,0.46,0.45,0.42,0.45,0.48,0.47,0.46,0.47
8,0.42,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.45,0.41,0.38,0.45
9,0.45,0.45,0.47,0.47,0.48,0.39,0.46,0.42,0.47,0.46,0.45,0.46
10,0.48,0.48,0.47,0.47,0.47,0.45,0.47,0.46,0.46,0.47,0.46,0.48
11,0.44,0.45,0.45,0.48,0.48,0.46,0.49,0.45,0.49,0.45,0.48,0.47
